pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.98 s=0.75 w16,500,0.392,304,0.608,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.98_s0.75_w16_0702_1744
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.90 s=0.85 w8,500,0.344,328,0.656,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.85_w8_0702_1702
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.90 s=0.75 w16,500,0.338,331,0.662,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.75_w16_0702_1721
table1_pair6_llama32_abliterated_deepseek3b,musique,B-ReKV t=0.90 s=0.85 w16,500,0.348,326,0.652,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.90_s0.85_w16_0702_1725
table1_pair6_llama32_abliterated_deepseek3b,qasper,ReKV-w8 r=0.7,500,0.31,345,0.69,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w8_r0.7_0625_1708
table1_pair6_llama32_abliterated_deepseek3b,qasper,ReKV-w16 r=0.7,500,0.306,347,0.694,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w16_r0.7_0625_1736
table1_pair6_llama32_abliterated_deepseek3b,qasper,ReKV-w16 r=0.3,500,0.316,342,0.684,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w16_r0.3_0625_1718
table1_pair6_llama32_abliterated_deepseek3b,qasper,ReKV-w8 r=0.3,500,0.306,347,0.694,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w8_r0.3_0625_1647
table1_pair6_llama32_abliterated_deepseek3b,qasper,ReKV-w8 r=0.5,500,0.302,349,0.698,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w8_r0.5_0625_1658
table1_pair6_llama32_abliterated_deepseek3b,qasper,ReKV-w16 r=0.5,500,0.326,337,0.674,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/mtc_receiver/recv_w16_r0.5_0625_1727
table1_pair6_llama32_abliterated_deepseek3b,qasper,B-ReKV t=0.95 s=0.75 w8,500,0.3,350,0.7,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.75_w8_0625_1746
table1_pair6_llama32_abliterated_deepseek3b,qasper,B-ReKV t=0.95 s=0.90 w16,500,0.324,338,0.676,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.90_w16_0625_1805
table1_pair6_llama32_abliterated_deepseek3b,qasper,B-ReKV t=0.95 s=0.85 w8,500,0.306,347,0.694,snapshots/table1_pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.85_w8_0625_1755
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,ReKV-w8 r=0.5,200,0.175,165,0.825,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w8_r0.5_0630_0752
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,ReKV-w8 r=0.7,200,0.2,160,0.8,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w8_r0.7_0630_0802
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,ReKV-w16 r=0.5,200,0.15,170,0.85,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w16_r0.5_0630_0822
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,ReKV-w8 r=0.3,200,0.15,170,0.85,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w8_r0.3_0630_0742
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,ReKV-w16 r=0.7,200,0.175,165,0.825,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w16_r0.7_0630_0832
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,ReKV-w16 r=0.3,200,0.135,173,0.865,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/mtc_receiver/recv_w16_r0.3_0630_0812
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,B-ReKV t=0.95 s=0.90 w16,200,0.115,177,0.885,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.90_w16_0630_0902
table1_pair7_qwen25_uncensored_bespoke,twowikimqa,B-ReKV t=0.95 s=0.85 w8,200,0.145,171,0.855,snapshots/table1_pair7_qwen25_uncensored_bespoke/twowikimqa/coverage/cov_t0.95_s0.85_w8_0630_0852
