pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.98 s=0.75 w8,500,0.446,277,0.554,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.98_s0.75_w8_0702_1905
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.90 s=0.85 w16,500,0.36,320,0.64,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.90_s0.85_w16_0702_1952
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.85 w8,500,0.446,277,0.554,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.85_w8_0629_2248
table1_pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV t=0.95 s=0.90 w16,500,0.402,299,0.598,snapshots/table1_pair7_qwen25_uncensored_bespoke/hotpotqa/coverage/cov_t0.95_s0.90_w16_0629_2329
table1_pair7_qwen25_uncensored_bespoke,musique,ReKV-w16 r=0.5,500,0.318,341,0.682,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.5_0630_0317
table1_pair7_qwen25_uncensored_bespoke,musique,ReKV-w16 r=0.7,500,0.352,324,0.648,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.7_0630_0403
table1_pair7_qwen25_uncensored_bespoke,musique,ReKV-w8 r=0.7,500,0.358,321,0.642,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.7_0630_0148
table1_pair7_qwen25_uncensored_bespoke,musique,ReKV-w8 r=0.3,500,0.288,356,0.712,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.3_0630_0011
table1_pair7_qwen25_uncensored_bespoke,musique,ReKV-w16 r=0.3,500,0.298,351,0.702,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w16_r0.3_0630_0232
table1_pair7_qwen25_uncensored_bespoke,musique,ReKV-w8 r=0.5,500,0.338,331,0.662,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/mtc_receiver/recv_w8_r0.5_0630_0101
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.98 s=0.75 w8,500,0.322,339,0.678,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.75_w8_0702_2224
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.90 s=0.65 w8,500,0.248,376,0.752,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.65_w8_0702_2119
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.98 s=0.65 w16,500,0.316,342,0.684,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.65_w16_0703_0017
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.90 s=0.85 w16,500,0.264,368,0.736,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.85_w16_0702_2318
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.98 s=0.85 w8,500,0.324,338,0.676,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.85_w8_0702_2238
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.75 w8,500,0.3,350,0.7,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w8_0630_0447
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.85 w16,500,0.286,357,0.714,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.85_w16_0702_2359
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.98 s=0.75 w16,500,0.326,337,0.674,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.75_w16_0703_0029
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.75 w16,500,0.266,367,0.734,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.75_w16_0702_2346
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.98 s=0.85 w16,500,0.33,335,0.67,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.85_w16_0703_0044
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.85 w8,500,0.308,346,0.692,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.85_w8_0630_0520
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.90 s=0.85 w8,500,0.294,353,0.706,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.85_w8_0702_2144
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.65 w16,500,0.278,361,0.722,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.65_w16_0702_2331
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.90 s=0.75 w16,500,0.26,370,0.74,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.75_w16_0702_2304
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.90 w16,500,0.3,350,0.7,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.90_w16_0630_0553
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.90 s=0.65 w16,500,0.254,373,0.746,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.65_w16_0702_2251
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.95 s=0.65 w8,500,0.294,353,0.706,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.95_s0.65_w8_0702_2155
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.90 s=0.75 w8,500,0.27,365,0.73,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.90_s0.75_w8_0702_2131
table1_pair7_qwen25_uncensored_bespoke,musique,B-ReKV t=0.98 s=0.65 w8,500,0.3,350,0.7,snapshots/table1_pair7_qwen25_uncensored_bespoke/musique/coverage/cov_t0.98_s0.65_w8_0702_2209
table1_pair7_qwen25_uncensored_bespoke,qasper,ReKV-w16 r=0.5,500,0.224,388,0.776,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w16_r0.5_0630_1148
table1_pair7_qwen25_uncensored_bespoke,qasper,ReKV-w8 r=0.5,500,0.218,391,0.782,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w8_r0.5_0630_0951
table1_pair7_qwen25_uncensored_bespoke,qasper,ReKV-w8 r=0.7,500,0.222,389,0.778,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w8_r0.7_0630_1031
table1_pair7_qwen25_uncensored_bespoke,qasper,ReKV-w16 r=0.7,500,0.208,396,0.792,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w16_r0.7_0630_1229
table1_pair7_qwen25_uncensored_bespoke,qasper,ReKV-w8 r=0.3,500,0.224,388,0.776,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w8_r0.3_0630_0912
table1_pair7_qwen25_uncensored_bespoke,qasper,ReKV-w16 r=0.3,500,0.228,386,0.772,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/mtc_receiver/recv_w16_r0.3_0630_1111
table1_pair7_qwen25_uncensored_bespoke,qasper,B-ReKV t=0.95 s=0.85 w8,500,0.204,398,0.796,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.85_w8_0630_1350
table1_pair7_qwen25_uncensored_bespoke,qasper,B-ReKV t=0.95 s=0.75 w8,500,0.194,403,0.806,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.75_w8_0630_1311
table1_pair7_qwen25_uncensored_bespoke,qasper,B-ReKV t=0.95 s=0.90 w16,500,0.212,394,0.788,snapshots/table1_pair7_qwen25_uncensored_bespoke/qasper/coverage/cov_t0.95_s0.90_w16_0630_1428
