task,method,fraction,n,score,skyline,recovered_skyline,bytes_mean,bytes_mb,a2b_mb,budget_mean,run_dir
multifieldqa_en,rekv,0.5,145,0.496552,0.5655,0.8781,473295259.3,473.2953,471.1976,0.5156139517241382,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/rekv/rekv_w8_r0.5_0729_1414
multifieldqa_en,rekv_shuffled,0.1,145,0.186207,0.5655,0.3293,119184140.7,119.1841,117.0865,0.12812238620689664,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/rekv_shuffled/rekv_shuffled_w8_r0.1_0729_1456
multifieldqa_en,rekv_shuffled,0.3,145,0.337931,0.5655,0.5976,296237070.3,296.2371,294.1394,0.3218652827586207,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/rekv_shuffled/rekv_shuffled_w8_r0.3_0729_1424
multifieldqa_en,rekv_shuffled,0.5,145,0.475862,0.5655,0.8415,473295259.3,473.2953,471.1976,0.5156139517241382,snapshots/layer_vs_token_v1/pair1_llama31_same/multifieldqa_en/rekv_shuffled/rekv_shuffled_w8_r0.5_0729_1501
musique,full_kv,,200,0.58,0.535,1.0841,48296024.0,48.296,48.296,1.0,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/full_kv/full_kv_0729_1328
musique,kvcomm,0.1,200,0.06,0.535,0.1121,6152370.0,6.1524,6.1524,0.12780226499999997,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/kvcomm/kvcomm_top0.1_0729_1330
musique,kvcomm,0.3,200,0.12,0.535,0.2243,13678022.5,13.678,13.678,0.28355188000000014,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/kvcomm/kvcomm_top0.3_0729_1347
musique,kvcomm,0.5,200,0.33,0.535,0.6168,24213936.0,24.2139,24.2139,0.501601295,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/kvcomm/kvcomm_top0.5_0729_1359
musique,random_layer,0.1,200,0.005,0.535,0.0093,6152370.0,6.1524,6.1524,0.12780226499999997,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/random_layer/random_layer_top0.1_0729_1332
musique,random_layer,0.3,200,0.04,0.535,0.0748,13678022.5,13.678,13.678,0.28355188000000014,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/random_layer/random_layer_top0.3_0729_1349
musique,random_layer,0.5,200,0.315,0.535,0.5888,24213936.0,24.2139,24.2139,0.501601295,snapshots/layer_vs_token_v1/pair1_llama31_same/musique/random_layer/random_layer_top0.5_0729_1401
