dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
qasper,evict_r0.3_cost_0703_0548,495,0.046465,0.324997,0.324997,88.335,4970.020202,58.466667,106.739394,0.788626,0.0,6.130855,6.943883,30.219127,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/mtc_evict/evict_r0.3_cost_0703_0548
qasper,random_r0.3_cost_0703_0647,495,0.078788,0.324997,0.324997,88.335,4970.020202,58.466667,93.375758,0.788949,0.0,5.488464,6.302051,30.217752,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/qasper/mtc_random/random_r0.3_cost_0703_0647
tipsheets,B-ReKV t=0.95 s=0.75 w8,495,0.90101,0.293999,0.293999,1.811,112.929293,86.969697,4.044444,0.034494,0.054478,0.202226,0.292869,28.474786,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/coverage/cov_t0.95_s0.75_w8_cost_0703_0208
tipsheets,B-ReKV t=0.95 s=0.85 w8,495,0.921212,0.326729,0.326729,2.012,112.929293,86.969697,4.012121,0.033982,0.052797,0.193873,0.282331,28.474786,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/coverage/cov_t0.95_s0.85_w8_cost_0703_0211
tipsheets,B-ReKV t=0.95 s=0.90 w16,495,0.824242,0.34774,0.34774,2.142,112.929293,86.969697,4.389899,0.034073,0.053992,0.215553,0.305233,28.474786,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/coverage/cov_t0.95_s0.90_w16_cost_0703_0214
tipsheets,KVComm top=0.3,495,0.216162,0.32749,0.32749,2.022,112.929293,86.969697,9.210101,0.035194,0.0,0.370001,0.406897,28.469374,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/kvcomm/kvcomm_top0.3_cost_0703_0141
tipsheets,KVComm top=0.5,495,0.620202,0.539862,0.539862,3.334,112.929293,86.969697,4.048485,0.034696,0.0,0.164205,0.200494,28.467917,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/kvcomm/kvcomm_top0.5_cost_0703_0145
tipsheets,KVComm top=0.7,495,0.769697,0.716838,0.716838,4.427,112.929293,86.969697,9.953535,0.033748,0.0,0.384901,0.420288,28.472117,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/kvcomm/kvcomm_top0.7_cost_0703_0148
tipsheets,ReKV-w16 r=0.3,495,0.822222,0.324869,0.324869,2.006,112.929293,86.969697,4.29899,0.033833,0.046367,0.206051,0.287814,28.474786,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/mtc_receiver/recv_w16_r0.3_cost_0703_0205
tipsheets,ReKV-w8 r=0.3,495,0.90303,0.324869,0.324869,2.006,112.929293,86.969697,4.006061,0.033718,0.046435,0.193534,0.27526,28.474786,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/tipsheets/mtc_receiver/recv_w8_r0.3_cost_0703_0202
