pair,task,method,method_family,window,ratio_or_scale,n,score_mean,budget_mean,query_budget_mean,run_dir
table6_pair7_qwen25_uncensored_bespoke,musique_full,ReKV,ReKV,16,0.3,2417,0.29789,0.324969,,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/mtc_receiver/recv_w16_r0.3_0710_1456
table6_pair7_qwen25_uncensored_bespoke,musique_full,ReKV,ReKV,16,0.5,2417,0.326438,0.517839,,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/mtc_receiver/recv_w16_r0.5_0710_1549
table6_pair7_qwen25_uncensored_bespoke,musique_full,ReKV,ReKV,16,0.7,2417,0.35664,0.710717,,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/mtc_receiver/recv_w16_r0.7_0710_1638
table6_pair7_qwen25_uncensored_bespoke,musique_full,ReKV,ReKV,8,0.3,2417,0.308647,0.324969,,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/mtc_receiver/recv_w8_r0.3_0710_1237
table6_pair7_qwen25_uncensored_bespoke,musique_full,ReKV,ReKV,8,0.5,2417,0.360364,0.517839,,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/mtc_receiver/recv_w8_r0.5_0710_1325
table6_pair7_qwen25_uncensored_bespoke,musique_full,ReKV,ReKV,8,0.7,2417,0.373604,0.710717,,snapshots/table6_pair7_qwen25_uncensored_bespoke/musique_full/mtc_receiver/recv_w8_r0.7_0710_1412
table6_pair7_qwen25_uncensored_bespoke,qasper_full,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,1726,0.200463,0.252093,0.224392,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/coverage/cov_t0.95_s0.75_w8_0710_1626
table6_pair7_qwen25_uncensored_bespoke,qasper_full,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,1726,0.202202,0.280918,0.254286,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/coverage/cov_t0.95_s0.85_w8_0710_1813
table6_pair7_qwen25_uncensored_bespoke,qasper_full,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,1726,0.210892,0.345093,0.320835,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/coverage/cov_t0.95_s0.90_w16_0710_1959
table6_pair7_qwen25_uncensored_bespoke,qasper_full,ReKV,ReKV,16,0.3,1726,0.223638,0.325003,,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/mtc_receiver/recv_w16_r0.3_0710_0828
table6_pair7_qwen25_uncensored_bespoke,qasper_full,ReKV,ReKV,16,0.5,1726,0.23117,0.517863,,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/mtc_receiver/recv_w16_r0.5_0710_1237
table6_pair7_qwen25_uncensored_bespoke,qasper_full,ReKV,ReKV,16,0.7,1726,0.228273,0.710707,,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/mtc_receiver/recv_w16_r0.7_0710_1428
table6_pair7_qwen25_uncensored_bespoke,qasper_full,ReKV,ReKV,8,0.3,1726,0.223059,0.325003,,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/mtc_receiver/recv_w8_r0.3_0710_0247
table6_pair7_qwen25_uncensored_bespoke,qasper_full,ReKV,ReKV,8,0.5,1726,0.227115,0.517863,,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/mtc_receiver/recv_w8_r0.5_0710_0436
table6_pair7_qwen25_uncensored_bespoke,qasper_full,ReKV,ReKV,8,0.7,1726,0.232908,0.710707,,snapshots/table6_pair7_qwen25_uncensored_bespoke/qasper_full/mtc_receiver/recv_w8_r0.7_0710_0630
table6_pair7_qwen25_uncensored_bespoke,samsum,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,819,0.292726,0.323212,0.297549,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/coverage/cov_t0.95_s0.75_w8_0710_1546
table6_pair7_qwen25_uncensored_bespoke,samsum,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,819,0.298208,0.359642,0.335595,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/coverage/cov_t0.95_s0.85_w8_0710_1614
table6_pair7_qwen25_uncensored_bespoke,samsum,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,819,0.315022,0.382453,0.359266,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/coverage/cov_t0.95_s0.90_w16_0710_1641
table6_pair7_qwen25_uncensored_bespoke,samsum,ReKV,ReKV,16,0.3,819,0.3153,0.325023,,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/mtc_receiver/recv_w16_r0.3_0710_1405
table6_pair7_qwen25_uncensored_bespoke,samsum,ReKV,ReKV,16,0.5,819,0.334554,0.517754,,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/mtc_receiver/recv_w16_r0.5_0710_1438
table6_pair7_qwen25_uncensored_bespoke,samsum,ReKV,ReKV,16,0.7,819,0.338654,0.710504,,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/mtc_receiver/recv_w16_r0.7_0710_1514
table6_pair7_qwen25_uncensored_bespoke,samsum,ReKV,ReKV,8,0.3,819,0.298791,0.325023,,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/mtc_receiver/recv_w8_r0.3_0710_1237
table6_pair7_qwen25_uncensored_bespoke,samsum,ReKV,ReKV,8,0.5,819,0.321673,0.517754,,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/mtc_receiver/recv_w8_r0.5_0710_1307
table6_pair7_qwen25_uncensored_bespoke,samsum,ReKV,ReKV,8,0.7,819,0.33619,0.710504,,snapshots/table6_pair7_qwen25_uncensored_bespoke/samsum/mtc_receiver/recv_w8_r0.7_0710_1336
