dataset,method,n,score_mean,score_max,nonzero_count,nonzero_rate,avg_budget,run_dir
qasper,ReKV-w8 r=0.5,500,0.002,1.0,1,0.002,0.515639,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/mtc_receiver/recv_w8_r0.5_0703_0245
qasper,ReKV-w8 r=0.7,500,0.002,1.0,1,0.002,0.709375,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/mtc_receiver/recv_w8_r0.7_0703_0307
tipsheets,B-ReKV t=0.95 s=0.75 w8,500,0.0,0.0,0,0.0,0.217898,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/coverage/cov_t0.95_s0.75_w8_0702_2246
tipsheets,B-ReKV t=0.95 s=0.85 w8,500,0.0,0.0,0,0.0,0.239003,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/coverage/cov_t0.95_s0.85_w8_0702_2248
tipsheets,B-ReKV t=0.95 s=0.90 w16,500,0.0,0.0,0,0.0,0.244316,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/coverage/cov_t0.95_s0.90_w16_0702_2250
tipsheets,ReKV-w16 r=0.3,500,0.0,0.0,0,0.0,0.321961,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/mtc_receiver/recv_w16_r0.3_0702_2239
tipsheets,ReKV-w16 r=0.5,500,0.0,0.0,0,0.0,0.51568,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/mtc_receiver/recv_w16_r0.5_0702_2241
tipsheets,ReKV-w16 r=0.7,500,0.0,0.0,0,0.0,0.708783,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/mtc_receiver/recv_w16_r0.7_0702_2244
tipsheets,ReKV-w8 r=0.3,500,0.0,0.0,0,0.0,0.321961,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/mtc_receiver/recv_w8_r0.3_0702_2232
tipsheets,ReKV-w8 r=0.5,500,0.0,0.0,0,0.0,0.51568,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/mtc_receiver/recv_w8_r0.5_0702_2235
tipsheets,ReKV-w8 r=0.7,500,0.0,0.0,0,0.0,0.708783,snapshots/table8_pair9_supernova_deepseek_llama8b/tipsheets/mtc_receiver/recv_w8_r0.7_0702_2237
tmath,B-ReKV t=0.95 s=0.75 w8,300,0.321448,0.818182,299,0.996667,0.196568,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/coverage/cov_t0.95_s0.75_w8_0703_0758
tmath,B-ReKV t=0.95 s=0.85 w8,300,0.324514,0.818182,299,0.996667,0.215706,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/coverage/cov_t0.95_s0.85_w8_0703_0819
tmath,B-ReKV t=0.95 s=0.90 w16,300,0.324027,0.8,299,0.996667,0.244588,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/coverage/cov_t0.95_s0.90_w16_0703_0841
tmath,ReKV-w16 r=0.3,300,0.325379,0.8,299,0.996667,0.321846,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/mtc_receiver/recv_w16_r0.3_0703_0652
tmath,ReKV-w16 r=0.5,300,0.323044,0.733333,299,0.996667,0.515627,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/mtc_receiver/recv_w16_r0.5_0703_0714
tmath,ReKV-w16 r=0.7,300,0.327893,0.866667,299,0.996667,0.70933,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/mtc_receiver/recv_w16_r0.7_0703_0736
tmath,ReKV-w8 r=0.3,300,0.325432,0.8,299,0.996667,0.321846,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/mtc_receiver/recv_w8_r0.3_0703_0547
tmath,ReKV-w8 r=0.5,300,0.32223,0.866667,299,0.996667,0.515627,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/mtc_receiver/recv_w8_r0.5_0703_0609
tmath,ReKV-w8 r=0.7,300,0.327106,0.866667,299,0.996667,0.70933,snapshots/table8_pair9_supernova_deepseek_llama8b/tmath/mtc_receiver/recv_w8_r0.7_0703_0631
2wikimqa,B-ReKV t=0.95 s=0.75 w8,200,0.005,1.0,1,0.005,0.176263,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/coverage/cov_t0.95_s0.75_w8_0703_0212
2wikimqa,B-ReKV t=0.95 s=0.85 w8,200,0.005,1.0,1,0.005,0.195175,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/coverage/cov_t0.95_s0.85_w8_0703_0216
2wikimqa,B-ReKV t=0.95 s=0.90 w16,200,0.005,1.0,1,0.005,0.239067,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/coverage/cov_t0.95_s0.90_w16_0703_0220
2wikimqa,ReKV-w16 r=0.3,200,0.005,1.0,1,0.005,0.321874,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/mtc_receiver/recv_w16_r0.3_0703_0200
2wikimqa,ReKV-w16 r=0.5,200,0.005,1.0,1,0.005,0.515634,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/mtc_receiver/recv_w16_r0.5_0703_0204
2wikimqa,ReKV-w16 r=0.7,200,0.005,1.0,1,0.005,0.709372,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/mtc_receiver/recv_w16_r0.7_0703_0208
2wikimqa,ReKV-w8 r=0.3,200,0.005,1.0,1,0.005,0.321874,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/mtc_receiver/recv_w8_r0.3_0703_0148
2wikimqa,ReKV-w8 r=0.5,200,0.005,1.0,1,0.005,0.515634,snapshots/table8_pair9_supernova_deepseek_llama8b/twowikimqa/mtc_receiver/recv_w8_r0.5_0703_0152
