policy,group,n_cells,n_samples,brekv_score,brekv_budget,fixed_score,fixed_budget,score_delta,budget_delta,lower_ratio,upper_ratio,interpolation_weight,pair,task
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/multifieldqa_en,1,150,0.26666666666666666,0.15248373333333334,0.4533333333333333,0.6142905333333338,-0.18666666666666668,-0.4618068000000005,0.6,0.6,0.0,pair4_falcon3_7b_same,multifieldqa_en
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/twowikimqa,1,200,0.31,0.14895055500000004,0.3319721821628888,0.14895055500000004,-0.021972182162888824,0.0,0.1,0.15,0.348609108144441,pair4_falcon3_7b_same,twowikimqa
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/twowikimqa,1,200,0.31,0.14895055500000004,0.415,0.5178589100000012,-0.105,-0.36890835500000113,0.5,0.5,0.0,pair4_falcon3_7b_same,twowikimqa
per_cell_budget_matched_fixed,pair4_falcon3_7b_same/tmath,1,300,0.2966910866666668,0.2963569766666667,0.2944173387289162,0.2963569766666667,0.0022737479377507,0.0,0.25,0.3,0.4029479720601997,pair4_falcon3_7b_same,tmath
per_cell_best_fixed_unmatched,pair4_falcon3_7b_same/tmath,1,300,0.2966910866666668,0.2963569766666667,0.30255119666666663,0.5181497833333336,-0.005860110000000001,-0.2217928066666669,0.5,0.5,0.0,pair4_falcon3_7b_same,tmath
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/countries,1,200,0.27,0.29510624999999996,0.26512901341813755,0.29510624999999996,0.00487098658186245,0.0,0.25,0.3,0.43041447740196503,pair5_evolcodellama_toolace,countries
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/countries,1,200,0.27,0.29510624999999996,0.595,0.516051925,-0.325,-0.220945675,0.5,0.5,0.0,pair5_evolcodellama_toolace,countries
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/tipsheets,1,500,0.824,0.28952167600000006,0.689160975443289,0.28952167600000006,0.134839024556711,0.0,0.25,0.3,0.33200750340991525,pair5_evolcodellama_toolace,tipsheets
per_cell_best_fixed_unmatched,pair5_evolcodellama_toolace/tipsheets,1,500,0.824,0.28952167600000006,0.916,0.6124680340000002,-0.092,-0.3229463580000001,0.6,0.6,0.0,pair5_evolcodellama_toolace,tipsheets
per_cell_budget_matched_fixed,pair5_evolcodellama_toolace/hotpotqa,1,500,0.41,0.28858004399999987,0.4547940418930251,0.28858004399999987,-0.044794041893025056,0.0,0.25,0.3,0.30882008604659317,pair5_evolcodellama_toolace,hotpotqa
