pair,task,context_length_group,n,context_chars_mean,context_words_mean,hop_count_mean,hop_count_available_n,evidence_count_mean,evidence_count_available_n,metadata_id_mismatch_n,unsolved_rate,oracle_needed_budget_solved_mean,oracle_needed_budget_capped_mean,brekv_budget_mean,brekv_score_mean,spearman_solved_only
pair6_llama32_abliterated_deepseek3b,hotpotqa,medium,164,336.0914634146341,55.1280487804878,NA,0,2.2865853658536586,164,0,0.18902439024390244,0.22811532330827072,0.30111345731707306,0.25034083536585366,0.5121951219512195,0.03680041086186206
pair6_llama32_abliterated_deepseek3b,hotpotqa,long,167,504.76646706586826,81.91017964071857,NA,0,2.8922155688622753,167,0,0.2155688622754491,0.21748477099236624,0.30298847904191606,0.2418129341317366,0.5209580838323353,0.09591259489634266
pair6_llama32_abliterated_deepseek3b,musique,short,167,738.3952095808384,122.2814371257485,2.1377245508982035,167,2.1377245508982035,167,0,0.40119760479041916,0.26582613999999993,0.4056368443113772,0.24991446107784432,0.32934131736526945,-0.07634513156054903
pair6_llama32_abliterated_deepseek3b,musique,medium,166,1296.1626506024097,215.49397590361446,2.7048192771084336,166,2.7048192771084336,166,0,0.4397590361445783,0.23206764516129033,0.40010230722891577,0.24487592771084352,0.37349397590361444,0.04138625703395349
pair6_llama32_abliterated_deepseek3b,musique,long,167,2218.11377245509,362.0179640718563,3.2335329341317367,167,3.2335329341317367,167,0,0.6107784431137725,0.23822623076923072,0.46789110778443144,0.2607445808383233,0.23952095808383234,0.024236728858613457
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,short,50,11849.58,1825.64,NA,0,NA,0,0,0.38,0.22392232258064515,0.37225502000000005,0.3506476,0.52,0.3091515249947447
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,medium,51,29582.941176470587,4662.509803921569,NA,0,NA,0,0,0.4117647058823529,0.18198563333333334,0.3599887254901961,0.4081096274509804,0.5098039215686274,-0.03626654822753074
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,long,49,46245.448979591834,7266.877551020408,NA,0,NA,0,0,0.3673469387755102,0.1865813225806452,0.3436933469387754,0.426144612244898,0.4897959183673469,0.2177379567912169
pair7_qwen25_uncensored_bespoke,hotpotqa,short,169,221.44378698224853,36.603550295857985,NA,0,2.1183431952662723,169,0,0.3254437869822485,0.3277549912280701,0.42102891124260355,0.3989798520710059,0.3254437869822485,0.23970638749432532
pair7_qwen25_uncensored_bespoke,hotpotqa,medium,164,336.0914634146341,55.1280487804878,NA,0,2.2865853658536586,164,0,0.3048780487804878,0.2691416929824562,0.37431019512195124,0.3852642378048779,0.3902439024390244,0.1458466239100118
pair7_qwen25_uncensored_bespoke,hotpotqa,long,167,504.76646706586826,81.91017964071857,NA,0,2.8922155688622753,167,0,0.3652694610778443,0.24467039622641515,0.3797470179640718,0.3716262514970059,0.3413173652694611,0.14135744512078155
pair7_qwen25_uncensored_bespoke,musique,short,167,738.3952095808384,122.2814371257485,2.1377245508982035,167,2.1377245508982035,167,0,0.4550898203592814,0.3129590769230769,0.4500074850299403,0.3682820598802396,0.2754491017964072,0.13015650102115728
pair7_qwen25_uncensored_bespoke,musique,medium,166,1296.1626506024097,215.49397590361446,2.7048192771084336,166,2.7048192771084336,166,0,0.46987951807228917,0.25618571590909095,0.4244778132530121,0.3346281144578312,0.29518072289156627,-0.11891573027531428
pair7_qwen25_uncensored_bespoke,musique,long,167,2218.11377245509,362.0179640718563,3.2335329341317367,167,3.2335329341317367,167,0,0.7065868263473054,0.28074781632653056,0.5163962035928148,0.32938416167664714,0.10179640718562874,-0.183009116699578
pair7_qwen25_uncensored_bespoke,multifieldqa_en,short,50,11849.58,1825.64,NA,0,NA,0,0,0.38,0.19902745161290322,0.3568366000000001,0.3261069,0.3,0.04800323101330181
pair7_qwen25_uncensored_bespoke,multifieldqa_en,medium,51,29582.941176470587,4662.509803921569,NA,0,NA,0,0,0.45098039215686275,0.2578475,0.41859431372549016,0.3618342156862745,0.3137254901960784,0.16559463683197384
pair7_qwen25_uncensored_bespoke,multifieldqa_en,long,49,46245.448979591834,7266.877551020408,NA,0,NA,0,0,0.4897959183673469,0.22856987999999998,0.4174922448979591,0.38799851020408166,0.32653061224489793,0.04771066147697491
