pair,task_type,dataset,method,n,score_mean,run_dir
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.85 w16,500,0.722,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.85_w16_0702_1652
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.85 w8,500,0.518,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.85_w8_0702_1610
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.65 w8,500,0.686,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.65_w8_0702_1616
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.85 w8,500,0.712,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.85_w8_0702_1623
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.85 w16,500,0.662,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.85_w16_0702_1644
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.75 w8,500,0.48,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.75_w8_0702_1606
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.98 s=0.65 w16,500,0.672,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.65_w16_0702_1646
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.65 w16,500,0.506,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.65_w16_0702_1626
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.75 w8,500,0.642,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.75_w8_0625_1442
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.65 w16,500,0.65,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.65_w16_0702_1637
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.95 s=0.65 w8,500,0.624,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.65_w8_0702_1613
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.65 w8,500,0.464,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.65_w8_0702_1603
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,hotpotqa,B-ReKV t=0.90 s=0.85 w16,500,0.588,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.85_w16_0702_1634
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,ReKV-w16 r=0.7,500,0.716,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/mtc_receiver/recv_w16_r0.7_0625_1410
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,ReKV-w8 r=0.3,500,0.486,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/mtc_receiver/recv_w8_r0.3_0625_1355
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,ReKV-w8 r=0.7,500,0.736,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/mtc_receiver/recv_w8_r0.7_0625_1401
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,ReKV-w8 r=0.5,500,0.594,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/mtc_receiver/recv_w8_r0.5_0625_1358
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,ReKV-w16 r=0.5,500,0.604,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/mtc_receiver/recv_w16_r0.5_0625_1407
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,ReKV-w16 r=0.3,500,0.484,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/mtc_receiver/recv_w16_r0.3_0625_1404
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,B-ReKV t=0.95 s=0.90 w16,500,0.47,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/coverage/cov_t0.95_s0.90_w16_0625_1419
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,B-ReKV t=0.95 s=0.85 w8,500,0.412,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/coverage/cov_t0.95_s0.85_w8_0625_1416
table1_pair6_llama32_abliterated_deepseek3b,simple_synthetic,tipsheets,B-ReKV t=0.95 s=0.75 w8,500,0.41,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tipsheets/coverage/cov_t0.95_s0.75_w8_0625_1413
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,ReKV-w16 r=0.5,200,0.515,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/mtc_receiver/recv_w16_r0.5_0625_1348
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,ReKV-w8 r=0.7,200,0.575,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/mtc_receiver/recv_w8_r0.7_0625_1344
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,ReKV-w16 r=0.3,200,0.37,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/mtc_receiver/recv_w16_r0.3_0625_1346
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,ReKV-w8 r=0.5,200,0.52,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/mtc_receiver/recv_w8_r0.5_0625_1343
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,ReKV-w16 r=0.7,200,0.575,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/mtc_receiver/recv_w16_r0.7_0625_1349
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,ReKV-w8 r=0.3,200,0.375,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/mtc_receiver/recv_w8_r0.3_0625_1339
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,B-ReKV t=0.95 s=0.75 w8,200,0.49,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/coverage/cov_t0.95_s0.75_w8_0625_1350
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,B-ReKV t=0.95 s=0.90 w16,200,0.5,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/coverage/cov_t0.95_s0.90_w16_0625_1353
table1_pair6_llama32_abliterated_deepseek3b,simple_fact,countries,B-ReKV t=0.95 s=0.85 w8,200,0.505,snapshots/table1_pair6_llama32_abliterated_deepseek3b/countries/coverage/cov_t0.95_s0.85_w8_0625_1352
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,musique,ReKV-w16 r=0.3,500,0.354,snapshots/table1_pair6_llama32_abliterated_deepseek3b/musique/mtc_receiver/recv_w16_r0.3_0625_1504
