dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
musique,B-ReKV t=0.95 s=0.75 w8,495,0.381818,0.25064,0.25064,9.507,353.458586,51.591919,6.082828,0.048485,0.066372,0.268867,0.387132,12.171355,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/coverage/cov_t0.95_s0.75_w8_cost_0702_1621
musique,B-ReKV t=0.95 s=0.85 w8,495,0.367677,0.278998,0.278998,10.581,353.458586,51.591919,6.048485,0.053003,0.075764,0.29972,0.432399,12.171685,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0702_1625
musique,B-ReKV t=0.95 s=0.90 w16,495,0.365657,0.360376,0.360376,13.646,353.458586,51.591919,6.046465,0.041272,0.057102,0.227598,0.328692,12.173273,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/coverage/cov_t0.95_s0.90_w16_cost_0702_1630
musique,KVComm top=0.3,495,0.274747,0.323766,0.323766,12.5,353.458586,51.591919,6.989899,0.051231,0.0,0.320839,0.37581,12.148542,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/kvcomm/kvcomm_top0.3_cost_0702_1558
musique,KVComm top=0.5,495,0.321212,0.501722,0.501722,19.384,353.458586,51.591919,7.472727,0.039867,0.0,0.254929,0.297236,12.1624,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/kvcomm/kvcomm_top0.5_cost_0702_1602
musique,KVComm top=0.7,495,0.361616,0.679679,0.679679,26.268,353.458586,51.591919,6.937374,0.041352,0.0,0.249081,0.293019,12.176167,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/kvcomm/kvcomm_top0.7_cost_0702_1605
musique,ReKV-w16 r=0.3,495,0.353535,0.324975,0.324975,12.563,353.458586,51.591919,5.808081,0.03919,0.046054,0.202277,0.290065,12.17275,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/mtc_receiver/recv_w16_r0.3_cost_0702_1618
musique,ReKV-w8 r=0.3,495,0.359596,0.324975,0.324975,12.563,353.458586,51.591919,6.020202,0.049689,0.06138,0.274382,0.38876,12.17275,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/mtc_receiver/recv_w8_r0.3_cost_0702_1614
musique,evict_r0.3_cost_0702_1608,495,0.232323,0.324975,0.324975,12.563,353.458586,51.591919,7.060606,0.04242,0.0,0.267631,0.312559,12.129148,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/mtc_evict/evict_r0.3_cost_0702_1608
musique,random_r0.3_cost_0702_1611,495,0.181818,0.324975,0.324975,12.563,353.458586,51.591919,8.436364,0.039969,0.0,0.293986,0.336453,12.129151,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/musique/mtc_random/random_r0.3_cost_0702_1611
qasper,B-ReKV t=0.95 s=0.75 w8,495,0.30101,0.25299,0.25299,133.331,4854.242424,39.452525,12.838384,0.409441,0.069212,0.491467,0.988784,14.38028,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/coverage/cov_t0.95_s0.75_w8_cost_0702_1529
qasper,B-ReKV t=0.95 s=0.85 w8,495,0.307071,0.281918,0.281918,148.555,4854.242424,39.452525,12.759596,0.410846,0.093783,0.625035,1.158472,14.398609,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/qasper/coverage/cov_t0.95_s0.85_w8_cost_0702_1538
