pair,task,method,config,window,ratio,tau,scale,n,score,budget,protocol_version,path
pair6_llama32_abliterated_deepseek3b,hotpotqa,coverage,B-ReKV-t0.98-s0.95-w8,8,,0.98,0.95,100,0.75,0.5184798899999999,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/brekv_t0.98_s0.95_w8_0712_2236
pair6_llama32_abliterated_deepseek3b,hotpotqa,coverage,B-ReKV-t0.98-s1.00-w8,8,,0.98,1.0,100,0.77,0.5397613299999999,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/brekv_t0.98_s1.00_w8_0712_2236
pair1_llama31_same,musique,fixed,ReKV-w8-r0.20,8,0.2,,,100,0.32,0.22495422999999998,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/fixed/rekv_w8_r0.20_0712_2127
pair1_llama31_same,musique,fixed,ReKV-w8-r0.25,8,0.25,,,100,0.34,0.27338628,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/fixed/rekv_w8_r0.25_0712_2129
pair1_llama31_same,musique,fixed,ReKV-w8-r0.30,8,0.3,,,100,0.38,0.32189506,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/fixed/rekv_w8_r0.30_0712_2130
pair1_llama31_same,musique,fixed,ReKV-w8-r0.35,8,0.35,,,100,0.4,0.37048641,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/fixed/rekv_w8_r0.35_0712_2132
pair1_llama31_same,musique,fixed,ReKV-w8-r0.40,8,0.4,,,100,0.44,0.41877828,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/fixed/rekv_w8_r0.40_0712_2133
pair1_llama31_same,musique,coverage,B-ReKV-t0.90-s0.95-w8,8,,0.9,0.95,100,0.25,0.18266995000000003,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/coverage/brekv_t0.90_s0.95_w8_0712_2244
pair1_llama31_same,musique,coverage,B-ReKV-t0.95-s0.85-w8,8,,0.95,0.85,100,0.36,0.30663396,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/coverage/brekv_t0.95_s0.85_w8_0712_2245
pair1_llama31_same,musique,coverage,B-ReKV-t0.95-s0.95-w8,8,,0.95,0.95,100,0.41,0.33883482,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/coverage/brekv_t0.95_s0.95_w8_0712_2246
pair1_llama31_same,musique,coverage,B-ReKV-t0.95-s1.00-w8,8,,0.95,1.0,100,0.4,0.35498634,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/coverage/brekv_t0.95_s1.00_w8_0712_2247
pair1_llama31_same,musique,coverage,B-ReKV-t0.98-s0.95-w8,8,,0.98,0.95,100,0.42,0.55632178,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/coverage/brekv_t0.98_s0.95_w8_0712_2247
pair1_llama31_same,musique,coverage,B-ReKV-t0.98-s1.00-w8,8,,0.98,1.0,100,0.45,0.58016606,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/musique/coverage/brekv_t0.98_s1.00_w8_0712_2248
pair1_llama31_same,multifieldqa_en,fixed,ReKV-w8-r0.20,8,0.2,,,100,0.45,0.22501225000000002,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/fixed/rekv_w8_r0.20_0712_2143
pair1_llama31_same,multifieldqa_en,fixed,ReKV-w8-r0.25,8,0.25,,,100,0.46,0.27343167,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/fixed/rekv_w8_r0.25_0712_2147
pair1_llama31_same,multifieldqa_en,fixed,ReKV-w8-r0.30,8,0.3,,,100,0.46,0.32186605,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/fixed/rekv_w8_r0.30_0712_2151
pair1_llama31_same,multifieldqa_en,fixed,ReKV-w8-r0.35,8,0.35,,,100,0.46,0.37030066,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/fixed/rekv_w8_r0.35_0712_2155
pair1_llama31_same,multifieldqa_en,fixed,ReKV-w8-r0.40,8,0.4,,,100,0.49,0.41876278999999994,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/fixed/rekv_w8_r0.40_0712_2159
pair1_llama31_same,multifieldqa_en,coverage,B-ReKV-t0.90-s0.95-w8,8,,0.9,0.95,100,0.45,0.24831397,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/coverage/brekv_t0.90_s0.95_w8_0712_2257
pair1_llama31_same,multifieldqa_en,coverage,B-ReKV-t0.95-s0.85-w8,8,,0.95,0.85,100,0.47,0.37334911,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/coverage/brekv_t0.95_s0.85_w8_0712_2259
pair1_llama31_same,multifieldqa_en,coverage,B-ReKV-t0.95-s0.95-w8,8,,0.95,0.95,100,0.48,0.41358710000000004,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/coverage/brekv_t0.95_s0.95_w8_0712_2301
pair1_llama31_same,multifieldqa_en,coverage,B-ReKV-t0.95-s1.00-w8,8,,0.95,1.0,100,0.47,0.4337106,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/coverage/brekv_t0.95_s1.00_w8_0712_2302
pair1_llama31_same,multifieldqa_en,coverage,B-ReKV-t0.98-s0.95-w8,8,,0.98,0.95,100,0.55,0.60323773,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/coverage/brekv_t0.98_s0.95_w8_0712_2304
pair1_llama31_same,multifieldqa_en,coverage,B-ReKV-t0.98-s1.00-w8,8,,0.98,1.0,100,0.52,0.62702019,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair1_llama31_same/multifieldqa_en/coverage/brekv_t0.98_s1.00_w8_0712_2306
