policy,pair,task,selected_ratio,score,actual_budget,total_bytes,a_to_b_bytes,b_to_a_bytes,per_task_best_score,relative_per_task_best_regret
Fixed 0.2,pair7_qwen25_uncensored_bespoke,twowikimqa,0.2,0.15,0.2285779,101075098.8,99469010.8,1606088.0,0.175,0.14285714285714282
Fixed 0.2,pair7_qwen25_uncensored_bespoke,tmath,0.2,0.32885554,0.22861602333333336,4473471.0,2867383.0,1606088.0,0.3312985833333333,0.00737414361616885
Fixed 0.3,pair1_llama31_same,countries,0.3,0.605,0.3235251700000001,4887550.0,2789878.0,2097672.0,0.585,-0.03418803418803422
Fixed 0.3,pair1_llama31_same,tipsheets,0.3,0.572,0.321858474,7040656.8,4942984.8,2097672.0,0.902,0.3658536585365854
Fixed 0.3,pair1_llama31_same,qasper,0.3,0.296,0.3218737,208918014.8,206820342.8,2097672.0,0.316,0.06329113924050639
Fixed 0.3,pair1_llama31_same,multifieldqa_en,0.3,0.49333333333333335,0.3218667266666666,296680204.0,294582532.0,2097672.0,0.5133333333333333,0.03896103896103889
Fixed 0.3,pair1_llama31_same,twowikimqa,0.3,0.41,0.32187672000000006,306218710.5,304121038.5,2097672.0,0.415,0.012048192771084348
Fixed 0.3,pair1_llama31_same,tmath,0.3,0.35465814333333334,0.32183572666666665,11486609.333333334,9388937.333333334,2097672.0,0.3608801166666667,0.0172411087393889
Fixed 0.3,pair2_llama32_same,countries,0.3,0.52,0.32664267,3841380.0,2464668.0,1376712.0,0.58,0.10344827586206887
Fixed 0.3,pair2_llama32_same,tipsheets,0.3,0.422,0.32498362799999997,5743812.8,4367100.8,1376712.0,0.714,0.40896358543417366
Fixed 0.3,pair2_llama32_same,hotpotqa,0.3,0.582,0.32510807999999997,6628789.6,5252077.6,1376712.0,0.682,0.1466275659824048
Fixed 0.3,pair2_llama32_same,qasper,0.3,0.28,0.32499875199999995,184101471.6,182724759.6,1376712.0,0.324,0.1358024691358024
Fixed 0.3,pair2_llama32_same,musique,0.3,0.24,0.324963924,15469053.8,14092341.8,1376712.0,0.342,0.2982456140350878
Fixed 0.3,pair2_llama32_same,multifieldqa_en,0.3,0.49333333333333335,0.32499175333333336,261638993.33333334,260262281.33333334,1376712.0,0.52,0.05128205128205129
Fixed 0.3,pair2_llama32_same,twowikimqa,0.3,0.405,0.32500169,270066126.5,268689414.5,1376712.0,0.4,-0.012500000000000011
Fixed 0.3,pair2_llama32_same,tmath,0.3,0.34913778666666667,0.32496090666666666,9671798.666666666,8295086.666666667,1376712.0,0.3601894133333333,0.030682819254432225
Fixed 0.3,pair3_qwen25_7b_same,countries,0.3,0.03,0.32487059,2724893.4,1118805.4,1606088.0,0.365,0.9178082191780821
Fixed 0.3,pair3_qwen25_7b_same,tipsheets,0.3,0.898,0.32485899800000007,3714716.64,2108628.64,1606088.0,0.934,0.038543897216274124
Fixed 0.3,pair3_qwen25_7b_same,hotpotqa,0.3,0.454,0.32497538,4221815.088,2615727.088,1606088.0,0.652,0.30368098159509205
Fixed 0.3,pair3_qwen25_7b_same,qasper,0.3,0.274,0.32499756,94751729.472,93145641.472,1606088.0,0.336,0.1845238095238095
Fixed 0.3,pair3_qwen25_7b_same,musique,0.3,0.288,0.324936894,8874294.168,7268206.168,1606088.0,0.372,0.22580645161290328
Fixed 0.3,pair3_qwen25_7b_same,multifieldqa_en,0.3,0.47333333333333333,0.32500122666666664,136074530.64,134468442.64,1606088.0,0.5266666666666666,0.10126582278481006
Fixed 0.3,pair3_qwen25_7b_same,twowikimqa,0.3,0.47,0.32500169,143038088.4,141432000.4,1606088.0,0.46,-0.021739130434782507
Fixed 0.3,pair3_qwen25_7b_same,tmath,0.3,0.30831845,0.32515451333333334,5683863.72,4077775.72,1606088.0,0.3214439,0.040832786063135694
Fixed 0.3,pair4_falcon3_7b_same,countries,0.3,0.035,0.331354715,2908527.5,1531815.5,1376712.0,0.405,0.9135802469135802
Fixed 0.3,pair4_falcon3_7b_same,tipsheets,0.3,0.674,0.325015534,4975177.6,3598465.6,1376712.0,0.928,0.27370689655172414
Fixed 0.3,pair4_falcon3_7b_same,hotpotqa,0.3,0.446,0.325206048,5976028.6,4599316.6,1376712.0,0.6,0.25666666666666665
Fixed 0.3,pair4_falcon3_7b_same,qasper,0.3,0.21,0.32499258400000003,193379706.0,192002994.0,1376712.0,0.238,0.11764705882352941
Fixed 0.3,pair4_falcon3_7b_same,musique,0.3,0.3,0.324980906,15204685.8,13827973.8,1376712.0,0.402,0.25373134328358216
Fixed 0.3,pair4_falcon3_7b_same,multifieldqa_en,0.3,0.37333333333333335,0.32499668,281059190.0,279682478.0,1376712.0,0.43333333333333335,0.13846153846153844
Fixed 0.3,pair4_falcon3_7b_same,twowikimqa,0.3,0.38,0.32499918,285232395.5,283855683.5,1376712.0,0.4,0.050000000000000044
Fixed 0.3,pair4_falcon3_7b_same,tmath,0.3,0.2972566833333333,0.32510229333333335,9285879.333333334,7909167.333333333,1376712.0,0.30103694,0.012557451144257076
Fixed 0.3,pair5_evolcodellama_toolace,countries,0.3,0.305,0.3235251700000001,4887550.0,2789878.0,2097672.0,0.59,0.4830508474576271
Fixed 0.3,pair5_evolcodellama_toolace,tipsheets,0.3,0.776,0.321858474,7040656.8,4942984.8,2097672.0,0.916,0.15283842794759825
Fixed 0.3,pair5_evolcodellama_toolace,hotpotqa,0.3,0.47,0.32198355000000006,8042368.8,5944696.8,2097672.0,0.608,0.22697368421052633
Fixed 0.3,pair5_evolcodellama_toolace,qasper,0.3,0.186,0.3218737,208918014.8,206820342.8,2097672.0,0.24,0.22499999999999998
Fixed 0.3,pair5_evolcodellama_toolace,musique,0.3,0.28,0.321838688,18048345.0,15950673.0,2097672.0,0.338,0.17159763313609466
Fixed 0.3,pair5_evolcodellama_toolace,multifieldqa_en,0.3,0.49333333333333335,0.3218667266666666,296680204.0,294582532.0,2097672.0,0.56,0.11904761904761911
Fixed 0.3,pair5_evolcodellama_toolace,twowikimqa,0.3,0.33,0.32187672000000006,306218710.5,304121038.5,2097672.0,0.39,0.15384615384615383
Fixed 0.3,pair5_evolcodellama_toolace,tmath,0.3,0.3550670866666667,0.32183572666666665,11486609.333333334,9388937.333333334,2097672.0,0.37097900666666667,0.04289169929849212
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,countries,0.3,0.385,0.330894635,2922467.5,1545755.5,1376712.0,0.545,0.29357798165137616
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,tipsheets,0.3,0.448,0.324970932,4810841.4,3434129.4,1376712.0,0.694,0.3544668587896253
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,hotpotqa,0.3,0.608,0.324935562,5692497.2,4315785.2,1376712.0,0.696,0.12643678160919536
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,qasper,0.3,0.284,0.325006114,183170935.6,181794223.6,1376712.0,0.302,0.05960264900662257
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,musique,0.3,0.342,0.324975174,14535418.2,13158706.2,1376712.0,0.404,0.15346534653465346
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,0.3,0.54,0.32499992,260710671.33333334,259333959.33333334,1376712.0,0.49333333333333335,-0.09459459459459464
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,twowikimqa,0.3,0.39,0.325002255,269128948.5,267752236.5,1376712.0,0.41,0.04878048780487796
Fixed 0.3,pair6_llama32_abliterated_deepseek3b,tmath,0.3,0.32681761,0.32504884,8740155.666666666,7363443.666666667,1376712.0,0.33793254666666667,0.032890991934051116
Fixed 0.3,pair7_qwen25_uncensored_bespoke,countries,0.3,0.305,0.32487059,2724893.4,1118805.4,1606088.0,0.495,0.38383838383838387
Fixed 0.3,pair7_qwen25_uncensored_bespoke,tipsheets,0.3,0.85,0.32485899800000007,3714716.64,2108628.64,1606088.0,0.95,0.10526315789473682
Fixed 0.3,pair7_qwen25_uncensored_bespoke,hotpotqa,0.3,0.342,0.32497538,4221815.088,2615727.088,1606088.0,0.466,0.26609442060085836
Fixed 0.3,pair7_qwen25_uncensored_bespoke,qasper,0.3,0.19,0.32499756,94751729.472,93145641.472,1606088.0,0.204,0.06862745098039208
Fixed 0.3,pair7_qwen25_uncensored_bespoke,musique,0.3,0.226,0.324936894,8874294.168,7268206.168,1606088.0,0.332,0.31927710843373497
Fixed 0.3,pair7_qwen25_uncensored_bespoke,multifieldqa_en,0.3,0.38,0.32500122666666664,136074530.64,134468442.64,1606088.0,0.38,0.0
Fixed 0.3,pair7_qwen25_uncensored_bespoke,twowikimqa,0.3,0.155,0.32500169,143038088.4,141432000.4,1606088.0,0.175,0.11428571428571424
Fixed 0.3,pair7_qwen25_uncensored_bespoke,tmath,0.3,0.33207984333333335,0.32515451333333334,5683863.72,4077775.72,1606088.0,0.3312985833333333,-0.00235817488906677
Fixed 0.4,pair1_llama31_same,countries,0.4,0.59,0.41900885000000004,5711158.0,3613486.0,2097672.0,0.585,-0.008547008547008555
Fixed 0.4,pair1_llama31_same,tipsheets,0.4,0.782,0.418781966,8528997.8,6431325.8,2097672.0,0.902,0.13303769401330376
Fixed 0.4,pair1_llama31_same,qasper,0.4,0.306,0.41874731200000004,271163714.6,269066042.6,2097672.0,0.316,0.031645569620253194
Fixed 0.4,pair1_llama31_same,multifieldqa_en,0.4,0.5133333333333333,0.41876210666666663,385350248.0,383252576.0,2097672.0,0.5133333333333333,0.0
Fixed 0.4,pair1_llama31_same,twowikimqa,0.4,0.415,0.41875544500000006,397749140.0,395651468.0,2097672.0,0.415,0.0
Fixed 0.4,pair1_llama31_same,tmath,0.4,0.3569348733333333,0.41873979333333333,14312889.666666666,12215217.666666666,2097672.0,0.3608801166666667,0.010932282359511365
Fixed 0.4,pair2_llama32_same,countries,0.4,0.555,0.42168596499999994,4558716.0,3182004.0,1376712.0,0.58,0.04310344827586192
Fixed 0.4,pair2_llama32_same,tipsheets,0.4,0.574,0.42146051,7040109.8,5663397.8,1376712.0,0.714,0.19607843137254904
Fixed 0.4,pair2_llama32_same,hotpotqa,0.4,0.654,0.421297308,8182132.0,6805420.0,1376712.0,0.682,0.04105571847507335
Fixed 0.4,pair2_llama32_same,qasper,0.4,0.312,0.421425986,238315468.2,236938756.2,1376712.0,0.324,0.03703703703703707
Fixed 0.4,pair2_llama32_same,musique,0.4,0.292,0.421433094,19651742.6,18275030.6,1376712.0,0.342,0.14619883040935686
