pair,task,brekv_score,brekv_budget,best_rekv_score,best_rekv_budget,best_rekv_ratio,delta_vs_best,nearest_rekv_score,nearest_rekv_budget,nearest_ratio,delta_vs_nearest
pair4_falcon3_7b_same,multifieldqa_en,0.26666666666666666,0.15248373333333334,0.4533333333333333,0.6142905333333338,0.6,-0.18666666666666665,0.32666666666666666,0.13214869999999987,0.1,-0.06
pair4_falcon3_7b_same,musique,0.256,0.2592135399999999,0.402,0.614252,0.6,-0.14600000000000002,0.274,0.27681837199999976,0.25,-0.018000000000000016
pair4_falcon3_7b_same,qasper,0.146,0.21430740199999987,0.238,0.6142873359999992,0.6,-0.092,0.204,0.2285745480000003,0.2,-0.057999999999999996
pair4_falcon3_7b_same,tipsheets,0.818,0.3280979540000002,0.928,0.6141721279999994,0.6,-0.1100000000000001,0.674,0.32501553399999955,0.3,0.1439999999999999
pair4_falcon3_7b_same,tmath,0.2966910866666668,0.2963569766666667,0.30255119666666663,0.5181497833333336,0.5,-0.005860109999999807,0.29250107666666686,0.2769568799999999,0.25,0.004190009999999966
pair4_falcon3_7b_same,twowikimqa,0.31,0.14895055500000004,0.415,0.5178589100000012,0.5,-0.10499999999999998,0.325,0.1321405749999999,0.1,-0.015000000000000013
pair5_evolcodellama_toolace,countries,0.27,0.29510624999999996,0.595,0.516051925,0.5,-0.32499999999999996,0.235,0.2736311349999994,0.25,0.03500000000000003
pair5_evolcodellama_toolace,hotpotqa,0.41,0.28858004399999987,0.608,0.6126319660000008,0.6,-0.198,0.448,0.2736553139999998,0.25,-0.038000000000000034
pair5_evolcodellama_toolace,multifieldqa_en,0.54,0.35942132666666665,0.5733333333333334,0.515613286666667,0.5,-0.033333333333333326,0.52,0.37030424666666656,0.35,0.020000000000000018
pair5_evolcodellama_toolace,musique,0.25,0.3020290919999999,0.338,0.6124955300000012,0.6,-0.08800000000000002,0.28,0.32183868800000015,0.3,-0.030000000000000027
pair5_evolcodellama_toolace,qasper,0.222,0.38363950800000024,0.24,0.612502688000002,0.6,-0.017999999999999988,0.2,0.3703066080000003,0.35,0.021999999999999992
pair5_evolcodellama_toolace,tipsheets,0.824,0.28952167600000006,0.916,0.6124680340000002,0.6,-0.09200000000000008,0.646,0.2734495499999996,0.25,0.17799999999999994
pair5_evolcodellama_toolace,tmath,0.3561504766666666,0.2803039199999999,0.3709790066666667,0.612510206666667,0.6,-0.014828530000000117,0.3531969699999999,0.273445753333333,0.25,0.0029535066666667165
pair5_evolcodellama_toolace,twowikimqa,0.335,0.37488859999999996,0.39,0.6124945549999999,0.6,-0.05499999999999999,0.36,0.3703149049999999,0.35,-0.024999999999999967
pair6_llama32_abliterated_deepseek3b,countries,0.515,0.35294440500000007,0.545,0.5173858350000009,0.5,-0.030000000000000027,0.45,0.3726409050000001,0.35,0.065
pair6_llama32_abliterated_deepseek3b,hotpotqa,0.484,0.2530156239999998,0.696,0.6144441159999993,0.6,-0.21199999999999997,0.554,0.2769025219999998,0.25,-0.07000000000000006
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,0.5066666666666667,0.3948470466666666,0.54,0.32499991999999994,0.3,-0.033333333333333326,0.5133333333333333,0.3731993199999999,0.35,-0.006666666666666599
pair6_llama32_abliterated_deepseek3b,musique,0.314,0.2518589280000003,0.404,0.6142847919999999,0.6,-0.09000000000000002,0.28,0.22863367000000023,0.2,0.033999999999999975
pair6_llama32_abliterated_deepseek3b,qasper,0.302,0.40393804800000005,0.308,0.5178685359999988,0.5,-0.006000000000000005,0.3,0.421425987999999,0.4,0.0020000000000000018
pair6_llama32_abliterated_deepseek3b,tipsheets,0.43,0.23698031599999972,0.694,0.6142487740000001,0.6,-0.26399999999999996,0.396,0.22869410200000034,0.2,0.033999999999999975
pair6_llama32_abliterated_deepseek3b,twowikimqa,0.395,0.39988733500000007,0.415,0.5178631600000013,0.5,-0.019999999999999962,0.4,0.4214341600000004,0.4,-0.0050000000000000044
pair7_qwen25_uncensored_bespoke,countries,0.485,0.4008138700000001,0.5,0.5167529750000006,0.5,-0.015000000000000013,0.46,0.42165488500000037,0.4,0.024999999999999967
pair7_qwen25_uncensored_bespoke,hotpotqa,0.352,0.38534502800000026,0.466,0.6143471200000005,0.6,-0.11400000000000005,0.378,0.37304878599999963,0.35,-0.026000000000000023
pair7_qwen25_uncensored_bespoke,musique,0.224,0.34411705199999976,0.332,0.6142829579999993,0.6,-0.10800000000000001,0.226,0.32493689399999987,0.3,-0.0020000000000000018
pair7_qwen25_uncensored_bespoke,twowikimqa,0.17,0.3416963749999999,0.21,0.5178581100000009,0.5,-0.03999999999999998,0.155,0.32500169000000023,0.3,0.015000000000000013
