pair,task,target_method,target_score,target_actual_budget,baseline_method,matched_baseline_score,score_delta,match_status,fixed_ratio_bracket
pair4_falcon3_7b_same,tipsheets,B-ReKV,0.818,0.3280979540000002,Random,0.6620401144636153,0.15595988553638462,matched,0.3..0.35
pair4_falcon3_7b_same,tmath,B-ReKV,0.2966910866666668,0.2963569766666667,ReKV,0.2944173387289162,0.0022737479377506475,matched,0.25..0.3
pair4_falcon3_7b_same,tmath,B-ReKV,0.2966910866666668,0.2963569766666667,ValueNorm/Evict,0.2904370227375131,0.00625406392915373,matched,0.25..0.3
pair4_falcon3_7b_same,tmath,B-ReKV,0.2966910866666668,0.2963569766666667,Random,0.2918391819591151,0.004851904707551702,matched,0.25..0.3
pair4_falcon3_7b_same,twowikimqa,B-ReKV,0.31,0.14895055500000004,ReKV,0.3319721821628888,-0.02197218216288882,matched,0.1..0.15
pair4_falcon3_7b_same,twowikimqa,B-ReKV,0.31,0.14895055500000004,ValueNorm/Evict,0.28197218216288883,0.02802781783711117,matched,0.1..0.15
pair4_falcon3_7b_same,twowikimqa,B-ReKV,0.31,0.14895055500000004,Random,0.2317430455407222,0.0782569544592778,matched,0.1..0.15
pair5_evolcodellama_toolace,countries,B-ReKV,0.27,0.29510624999999996,ReKV,0.26512901341813755,0.004870986581862469,matched,0.25..0.3
pair5_evolcodellama_toolace,countries,B-ReKV,0.27,0.29510624999999996,ValueNorm/Evict,0.2244331581921572,0.04556684180784282,matched,0.25..0.3
pair5_evolcodellama_toolace,countries,B-ReKV,0.27,0.29510624999999996,Random,0.030064506709068777,0.23993549329093125,matched,0.25..0.3
pair5_evolcodellama_toolace,hotpotqa,B-ReKV,0.41,0.28858004399999987,ReKV,0.454794041893025,-0.04479404189302505,matched,0.25..0.3
pair5_evolcodellama_toolace,hotpotqa,B-ReKV,0.41,0.28858004399999987,ValueNorm/Evict,0.3199115649907024,0.09008843500929758,matched,0.25..0.3
pair5_evolcodellama_toolace,hotpotqa,B-ReKV,0.41,0.28858004399999987,Random,0.13976448550698195,0.270235514493018,matched,0.25..0.3
pair5_evolcodellama_toolace,multifieldqa_en,B-ReKV,0.54,0.35942132666666665,ReKV,0.5140085454416329,0.025991454558367155,matched,0.3..0.35
pair5_evolcodellama_toolace,multifieldqa_en,B-ReKV,0.54,0.35942132666666665,ValueNorm/Evict,0.33265812122503374,0.2073418787749663,matched,0.3..0.35
pair5_evolcodellama_toolace,multifieldqa_en,B-ReKV,0.54,0.35942132666666665,Random,0.4280170908832658,0.11198290911673425,matched,0.3..0.35
pair5_evolcodellama_toolace,musique,B-ReKV,0.25,0.3020290919999999,ReKV,0.26936396695572007,-0.01936396695572007,matched,0.25..0.3
pair5_evolcodellama_toolace,musique,B-ReKV,0.25,0.3020290919999999,ValueNorm/Evict,0.1484550286275908,0.1015449713724092,matched,0.25..0.3
pair5_evolcodellama_toolace,musique,B-ReKV,0.25,0.3020290919999999,Random,0.08327318501561234,0.16672681498438766,matched,0.25..0.3
pair5_evolcodellama_toolace,qasper,B-ReKV,0.222,0.38363950800000024,ReKV,0.20770676660686038,0.01429323339313962,matched,0.35..0.4
pair5_evolcodellama_toolace,qasper,B-ReKV,0.222,0.38363950800000024,ValueNorm/Evict,0.16825724993592184,0.053742750064078165,matched,0.35..0.4
pair5_evolcodellama_toolace,qasper,B-ReKV,0.222,0.38363950800000024,Random,0.12335821659404475,0.09864178340595525,matched,0.35..0.4
pair5_evolcodellama_toolace,tipsheets,B-ReKV,0.824,0.28952167600000006,ReKV,0.689160975443289,0.13483902455671093,matched,0.25..0.3
pair5_evolcodellama_toolace,tipsheets,B-ReKV,0.824,0.28952167600000006,ValueNorm/Evict,0.6318886302864328,0.19211136971356713,matched,0.25..0.3
pair5_evolcodellama_toolace,tipsheets,B-ReKV,0.824,0.28952167600000006,Random,0.6006242401091173,0.22337575989088265,matched,0.25..0.3
pair5_evolcodellama_toolace,tmath,B-ReKV,0.3561504766666666,0.2803039199999999,ReKV,0.3534620160602191,0.002688460606447507,matched,0.25..0.3
pair5_evolcodellama_toolace,tmath,B-ReKV,0.3561504766666666,0.2803039199999999,ValueNorm/Evict,0.33824454704172696,0.017905929624939643,matched,0.25..0.3
pair5_evolcodellama_toolace,tmath,B-ReKV,0.3561504766666666,0.2803039199999999,Random,0.33599654955580327,0.020153927110863334,matched,0.25..0.3
pair5_evolcodellama_toolace,twowikimqa,B-ReKV,0.335,0.37488859999999996,ReKV,0.3590558125487453,-0.02405581254874528,matched,0.35..0.4
pair5_evolcodellama_toolace,twowikimqa,B-ReKV,0.335,0.37488859999999996,ValueNorm/Evict,0.28424884353064606,0.050751156469353964,matched,0.35..0.4
pair5_evolcodellama_toolace,twowikimqa,B-ReKV,0.335,0.37488859999999996,Random,0.24047209372562733,0.09452790627437269,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,countries,B-ReKV,0.515,0.35294440500000007,ReKV,0.41933205050415295,0.09566794949584706,matched,0.3..0.35
pair6_llama32_abliterated_deepseek3b,countries,B-ReKV,0.515,0.35294440500000007,ValueNorm/Evict,0.3732046348092896,0.1417953651907104,matched,0.3..0.35
pair6_llama32_abliterated_deepseek3b,countries,B-ReKV,0.515,0.35294440500000007,Random,0.38292278088557374,0.13207721911442627,matched,0.3..0.35
pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV,0.484,0.2530156239999998,ReKV,0.5312472560492151,-0.04724725604921509,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV,0.484,0.2530156239999998,ValueNorm/Evict,0.4265160126244488,0.05748398737555116,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV,0.484,0.2530156239999998,Random,0.3361935047341683,0.14780649526583167,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV,0.5066666666666667,0.3948470466666666,ReKV,0.5043586199462705,0.002308046720396195,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV,0.5066666666666667,0.3948470466666666,ValueNorm/Evict,0.39359080682785513,0.11307585983881158,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV,0.5066666666666667,0.3948470466666666,Random,0.40367509553764575,0.10299157112902096,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,musique,B-ReKV,0.314,0.2518589280000003,ReKV,0.28772005962080144,0.026279940379198563,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,musique,B-ReKV,0.314,0.2518589280000003,ValueNorm/Evict,0.20254509688380237,0.11145490311619763,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,musique,B-ReKV,0.314,0.2518589280000003,Random,0.14151010433640254,0.17248989566359746,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,qasper,B-ReKV,0.302,0.40393804800000005,ReKV,0.2978237282710673,0.004176271728932701,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,qasper,B-ReKV,0.302,0.40393804800000005,ValueNorm/Evict,0.24056948917462503,0.06143051082537496,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,qasper,B-ReKV,0.302,0.40393804800000005,Random,0.25562711954822115,0.04637288045177884,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,tipsheets,B-ReKV,0.43,0.23698031599999972,ReKV,0.40153921255602604,0.028460787443973956,matched,0.2..0.25
