pair,pair_label,task,task_label,method,score,payload_tokens,payload_bytes,payload_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.90 w16,0.372414,61661.172414,126282081.103448,120.432,3.167127,31.433407,7268.172413,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_cost_0703_1404
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,NLD,0.117241,27.855172,124.255172,0.000118,5.283789,29.717704,7543.275861,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/multifieldqa_en/nld/nld_cost_0709_1959
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,ReKV-w16 r=0.3,0.386207,65196.02069,133521450.372414,127.336,3.004134,31.435855,7265.482758,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0703_1341
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.372414,65196.02069,133521450.372414,127.336,3.040652,31.435741,7266.255172,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0703_1332
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,B-ReKV t=0.95 s=0.75 w8,0.29899,3089.278788,6326842.957576,6.0337,1.167308,28.582788,486.309091,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.75_w8_cost_0703_1216
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,B-ReKV t=0.95 s=0.85 w8,0.307071,3442.187879,7049600.775758,6.723,1.195543,28.583031,486.626262,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0703_1227
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,B-ReKV t=0.95 s=0.90 w16,0.29697,4387.042424,8984662.884848,8.5684,1.207163,28.583582,487.40404,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/coverage/cov_t0.95_s0.90_w16_cost_0703_1237
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,NLD,0.042424,24.230303,96.123232,9.2e-05,3.571563,28.453824,769.050505,snapshots/nld_cost_profile/pair7_qwen25_uncensored_bespoke/musique/nld/nld_cost_0709_1929
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,ReKV-w16 r=0.3,0.29697,3549.133333,7268625.066667,6.9319,1.150293,28.583038,486.656565,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_receiver/recv_w16_r0.3_cost_0703_1206
pair7_qwen25_uncensored_bespoke,S: Qwen2.5-7B-Uncensored; R: Bespoke-Stratos-7B,musique,MuSiQue,ReKV-w8 r=0.3,0.288889,3549.133333,7268625.066667,6.9319,1.209848,28.582993,487.123232,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/musique/mtc_receiver/recv_w8_r0.3_cost_0703_1155
