pair,pair_dir,task,brekv_score,actual_budget,matched_rekv,delta_rekv,matched_valuenorm,delta_valuenorm,matched_random,delta_random
#2,pair2_llama32_same,qasper,0.316,0.4067565699999998,0.3089576580392619,0.007042341960738108,0.2605237844706715,0.05547621552932852,0.23608991090208098,0.07991008909791902
#2,pair2_llama32_same,tipsheets,0.42,0.23684930000000012,0.37607915212953724,0.04392084787046274,0.3996996467206405,0.020300353279359473,0.3707194347530248,0.04928056524697516
#2,pair2_llama32_same,tmath,0.3497881966666668,0.25761217333333336,0.3400329372291454,0.009755259437521369,0.33418301906607806,0.015605177600588716,0.3330528861129133,0.01673531055375349
#2,pair2_llama32_same,twowikimqa,0.415,0.40148981499999997,0.395,0.019999999999999962,0.3008636832770898,0.11413631672291019,0.3105228914698143,0.10447710853018566
#3,pair3_qwen25_7b_same,countries,0.23,0.38494854499999986,0.08465709424422148,0.14534290575577852,0.10239014443063597,0.12760985556936405,0.09717043329190789,0.13282956670809212
#3,pair3_qwen25_7b_same,hotpotqa,0.49,0.36186102599999986,0.5000366540286332,-0.010036654028633185,0.5847785399686475,-0.09477853996864749,0.4046403194314964,0.08535968056850357
#3,pair3_qwen25_7b_same,multifieldqa_en,0.41333333333333333,0.33988730000000017,0.4774491602309379,-0.06411582689760459,0.32460875321786437,0.08872458011546897,0.3041158268976046,0.10921750643572875
#3,pair3_qwen25_7b_same,musique,0.234,0.3209176740000004,0.28449795209520157,-0.050497952095201554,0.32599765953737325,-0.09199765953737324,0.17449795209520158,0.05950204790479843
#3,pair3_qwen25_7b_same,qasper,0.236,0.35022945199999994,0.2781864466693242,-0.042186446669324196,0.28255934000797256,-0.04655934000797257,0.2049322333466209,0.031067766653379097
#3,pair3_qwen25_7b_same,tipsheets,0.87,0.37128636200000026,0.9076391405791622,-0.03763914057916218,0.6579791872433077,0.21202081275669227,0.7329895936216538,0.13701040637834616
#3,pair3_qwen25_7b_same,tmath,0.3040080766666669,0.3630525066666668,0.3086044547737294,-0.004596378107062482,0.3090666113807526,-0.005058534714085683,0.3090166920378527,-0.005008615371185798
#3,pair3_qwen25_7b_same,twowikimqa,0.405,0.31823836499999986,0.465090110565467,-0.06009011056546698,0.3378056511054474,0.06719434889455261,0.3107014127763619,0.09429858722363815
#4,pair4_falcon3_7b_same,countries,0.25,0.43569405999999977,0.3251660808254205,-0.07516608082542048,0.17722194325020024,0.07277805674979976,0.09938852622526029,0.1506114737747397
#4,pair4_falcon3_7b_same,hotpotqa,0.426,0.3392620719999996,0.45657458331052,-0.030574583310519987,0.38762430551753335,0.03837569448246664,0.32328729165526,0.10271270834474
#4,pair4_falcon3_7b_same,multifieldqa_en,0.26666666666666666,0.15248373333333334,0.32666666666666666,-0.06,0.24354134476068456,0.0231253219059821,0.21406223174501493,0.05260443492165173
#4,pair4_falcon3_7b_same,musique,0.256,0.2592135399999999,0.262304919985425,-0.006304919985424984,0.18757397748451404,0.06842602251548596,0.1028430349836031,0.15315696501639692
#4,pair4_falcon3_7b_same,qasper,0.146,0.21430740199999987,0.19689742706738583,-0.05089742706738584,0.07363247568912862,0.07236752431087137,0.06704059461141076,0.07895940538858923
