pair,task,method,n,bandwidth_gbps,rtt_ms,rtt_rounds,payload_bytes_mean,compute_s_mean,transfer_s_mean,network_s_mean,e2e_s_mean,e2e_s_median,e2e_s_p95,source
pair1_llama31_same,multifieldqa_en,B-ReKV,50,25.0,1.0,1,326101804.0,0.75688976,0.10435257728,0.10535257728000001,0.8622423372799999,0.8046423544,1.5863928887999996,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,25.0,10.0,1,326101804.0,0.75688976,0.10435257728,0.11435257727999998,0.8712423372799999,0.8136423544,1.5953928887999995,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,25.0,50.0,1,326101804.0,0.75688976,0.10435257728,0.15435257728,0.9112423372799999,0.8536423544,1.6353928887999996,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,100.0,0.0,1,326101804.0,0.75688976,0.02608814432,0.02608814432,0.7829779043200001,0.7260599136,1.4646103471999998,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,100.0,1.0,1,326101804.0,0.75688976,0.02608814432,0.027088144320000004,0.78397790432,0.7270599136,1.4656103471999997,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,100.0,10.0,1,326101804.0,0.75688976,0.02608814432,0.03608814432,0.7929779043200001,0.7360599135999999,1.4746103471999998,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,B-ReKV,50,100.0,50.0,1,326101804.0,0.75688976,0.02608814432,0.07608814432,0.8329779043200002,0.7760599135999999,1.5146103471999999,/home/xay/KVMergeComm/snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,NLD,50,1.0,0.0,1,87.34,1.5131288400000003,6.9872e-07,6.9872e-07,1.51312953872,1.256710452,3.171882419199998,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/multifieldqa_en/nld_aware/nld_aware_cost_0725_2108/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,NLD,50,1.0,1.0,1,87.34,1.5131288400000003,6.9872e-07,0.00100069872,1.51412953872,1.257710452,3.172882419199998,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/multifieldqa_en/nld_aware/nld_aware_cost_0725_2108/cost_profile.jsonl
pair1_llama31_same,multifieldqa_en,NLD,50,1.0,10.0,1,87.34,1.5131288400000003,6.9872e-07,0.010000698720000001,1.5231295387200001,1.2667104519999999,3.1818824191999977,/home/xay/KVMergeComm/snapshots/nld_receiver_aware_cost_v1/pair1_llama31_same/multifieldqa_en/nld_aware/nld_aware_cost_0725_2108/cost_profile.jsonl
