pair,task,baseline_method,n,brekv_score,brekv_actual_budget,matched_baseline_score,score_delta,lower_ratio,upper_ratio,interpolation_weight,lower_actual_budget,upper_actual_budget
pair4_falcon3_7b_same,musique,ValueNorm/Evict,500,0.256,0.2592135399999999,0.18757397748451404,0.06842602251548596,0.2,0.25,0.6345287495445305,0.22864814800000036,0.27681837199999976
pair4_falcon3_7b_same,musique,Random,500,0.256,0.2592135399999999,0.1028430349836031,0.15315696501639692,0.2,0.25,0.6345287495445305,0.22864814800000036,0.27681837199999976
pair4_falcon3_7b_same,qasper,ReKV,500,0.146,0.21430740199999987,0.19689742706738583,-0.05089742706738584,0.15,0.2,0.7040594611410765,0.18036504600000003,0.2285745480000003
pair4_falcon3_7b_same,qasper,ValueNorm/Evict,500,0.146,0.21430740199999987,0.07363247568912862,0.07236752431087137,0.15,0.2,0.7040594611410765,0.18036504600000003,0.2285745480000003
pair4_falcon3_7b_same,qasper,Random,500,0.146,0.21430740199999987,0.06704059461141076,0.07895940538858923,0.15,0.2,0.7040594611410765,0.18036504600000003,0.2285745480000003
pair4_falcon3_7b_same,tipsheets,ReKV,500,0.818,0.3280979540000002,0.6802971406110032,0.13770285938899673,0.3,0.35,0.0642565368469707,0.32501553399999955,0.37298606199999956
pair4_falcon3_7b_same,tipsheets,ValueNorm/Evict,500,0.818,0.3280979540000002,0.6491405229477577,0.16885947705224225,0.3,0.35,0.0642565368469707,0.32501553399999955,0.37298606199999956
pair4_falcon3_7b_same,tipsheets,Random,500,0.818,0.3280979540000002,0.6620401144636153,0.15595988553638462,0.3,0.35,0.0642565368469707,0.32501553399999955,0.37298606199999956
pair4_falcon3_7b_same,tmath,ReKV,300,0.2966910866666668,0.2963569766666667,0.2944173387289162,0.0022737479377506475,0.25,0.3,0.4029479720601997,0.2769568799999999,0.32510229333333335
pair4_falcon3_7b_same,tmath,ValueNorm/Evict,300,0.2966910866666668,0.2963569766666667,0.2904370227375131,0.00625406392915373,0.25,0.3,0.4029479720601997,0.2769568799999999,0.32510229333333335
pair4_falcon3_7b_same,tmath,Random,300,0.2966910866666668,0.2963569766666667,0.2918391819591151,0.004851904707551702,0.25,0.3,0.4029479720601997,0.2769568799999999,0.32510229333333335
pair4_falcon3_7b_same,twowikimqa,ReKV,200,0.31,0.14895055500000004,0.3319721821628888,-0.02197218216288882,0.1,0.15,0.348609108144441,0.1321405749999999,0.18036071500000006
pair4_falcon3_7b_same,twowikimqa,ValueNorm/Evict,200,0.31,0.14895055500000004,0.28197218216288883,0.02802781783711117,0.1,0.15,0.348609108144441,0.1321405749999999,0.18036071500000006
pair4_falcon3_7b_same,twowikimqa,Random,200,0.31,0.14895055500000004,0.2317430455407222,0.0782569544592778,0.1,0.15,0.348609108144441,0.1321405749999999,0.18036071500000006
pair5_evolcodellama_toolace,countries,ReKV,200,0.27,0.29510624999999996,0.26512901341813755,0.004870986581862469,0.25,0.3,0.43041447740196503,0.2736311349999994,0.32352516999999986
pair5_evolcodellama_toolace,countries,ValueNorm/Evict,200,0.27,0.29510624999999996,0.2244331581921572,0.04556684180784282,0.25,0.3,0.43041447740196503,0.2736311349999994,0.32352516999999986
pair5_evolcodellama_toolace,countries,Random,200,0.27,0.29510624999999996,0.030064506709068777,0.23993549329093125,0.25,0.3,0.43041447740196503,0.2736311349999994,0.32352516999999986
pair5_evolcodellama_toolace,hotpotqa,ReKV,500,0.41,0.28858004399999987,0.454794041893025,-0.04479404189302505,0.25,0.3,0.30882008604659317,0.2736553139999998,0.3219835499999998
pair5_evolcodellama_toolace,hotpotqa,ValueNorm/Evict,500,0.41,0.28858004399999987,0.3199115649907024,0.09008843500929758,0.25,0.3,0.30882008604659317,0.2736553139999998,0.3219835499999998
pair5_evolcodellama_toolace,hotpotqa,Random,500,0.41,0.28858004399999987,0.13976448550698195,0.270235514493018,0.25,0.3,0.30882008604659317,0.2736553139999998,0.3219835499999998
pair5_evolcodellama_toolace,multifieldqa_en,ReKV,150,0.54,0.35942132666666665,0.5140085454416329,0.025991454558367155,0.3,0.35,0.7753204540612336,0.3218667266666666,0.37030424666666656
pair5_evolcodellama_toolace,multifieldqa_en,ValueNorm/Evict,150,0.54,0.35942132666666665,0.33265812122503374,0.2073418787749663,0.3,0.35,0.7753204540612336,0.3218667266666666,0.37030424666666656
pair5_evolcodellama_toolace,multifieldqa_en,Random,150,0.54,0.35942132666666665,0.4280170908832658,0.11198290911673425,0.3,0.35,0.7753204540612336,0.3218667266666666,0.37030424666666656
pair5_evolcodellama_toolace,musique,ReKV,500,0.25,0.3020290919999999,0.26936396695572007,-0.01936396695572007,0.25,0.3,0.5909218059892318,0.2734137259999997,0.32183868800000015
pair5_evolcodellama_toolace,musique,ValueNorm/Evict,500,0.25,0.3020290919999999,0.1484550286275908,0.1015449713724092,0.25,0.3,0.5909218059892318,0.2734137259999997,0.32183868800000015
pair5_evolcodellama_toolace,musique,Random,500,0.25,0.3020290919999999,0.08327318501561234,0.16672681498438766,0.25,0.3,0.5909218059892318,0.2734137259999997,0.32183868800000015
pair5_evolcodellama_toolace,qasper,ReKV,500,0.222,0.38363950800000024,0.20770676660686038,0.01429323339313962,0.35,0.4,0.27524166453072796,0.3703066080000003,0.418747311999999
pair5_evolcodellama_toolace,qasper,ValueNorm/Evict,500,0.222,0.38363950800000024,0.16825724993592184,0.053742750064078165,0.35,0.4,0.27524166453072796,0.3703066080000003,0.418747311999999
pair5_evolcodellama_toolace,qasper,Random,500,0.222,0.38363950800000024,0.12335821659404475,0.09864178340595525,0.35,0.4,0.27524166453072796,0.3703066080000003,0.418747311999999
pair5_evolcodellama_toolace,tipsheets,ReKV,500,0.824,0.28952167600000006,0.689160975443289,0.13483902455671093,0.25,0.3,0.33200750340991525,0.2734495499999996,0.321858474
pair5_evolcodellama_toolace,tipsheets,ValueNorm/Evict,500,0.824,0.28952167600000006,0.6318886302864328,0.19211136971356713,0.25,0.3,0.33200750340991525,0.2734495499999996,0.321858474
pair5_evolcodellama_toolace,tipsheets,Random,500,0.824,0.28952167600000006,0.6006242401091173,0.22337575989088265,0.25,0.3,0.33200750340991525,0.2734495499999996,0.321858474
pair5_evolcodellama_toolace,tmath,ReKV,300,0.3561504766666666,0.2803039199999999,0.3534620160602191,0.002688460606447507,0.25,0.3,0.14172701893064607,0.273445753333333,0.321835726666667
pair5_evolcodellama_toolace,tmath,ValueNorm/Evict,300,0.3561504766666666,0.2803039199999999,0.33824454704172696,0.017905929624939643,0.25,0.3,0.14172701893064607,0.273445753333333,0.321835726666667
pair5_evolcodellama_toolace,tmath,Random,300,0.3561504766666666,0.2803039199999999,0.33599654955580327,0.020153927110863334,0.25,0.3,0.14172701893064607,0.273445753333333,0.321835726666667
pair5_evolcodellama_toolace,twowikimqa,ReKV,200,0.335,0.37488859999999996,0.3590558125487453,-0.02405581254874528,0.35,0.4,0.09441874512546754,0.3703149049999999,0.4187554450000002
pair5_evolcodellama_toolace,twowikimqa,ValueNorm/Evict,200,0.335,0.37488859999999996,0.28424884353064606,0.050751156469353964,0.35,0.4,0.09441874512546754,0.3703149049999999,0.4187554450000002
pair5_evolcodellama_toolace,twowikimqa,Random,200,0.335,0.37488859999999996,0.24047209372562733,0.09452790627437269,0.35,0.4,0.09441874512546754,0.3703149049999999,0.4187554450000002
