comparison,pair,task,n_pairs,mean_delta,ci_low,ci_high,bootstrap_win_probability,lower_ratio,upper_ratio,interpolation_weight
B-ReKV - ReKV,pair5_evolcodellama_toolace,qasper,500,0.014293233393139615,-0.003908699923106208,0.03269710002563126,0.9369,0.35,0.4,0.27524166453072796
B-ReKV - ValueNorm/Evict,pair5_evolcodellama_toolace,qasper,500,0.053742750064078165,0.021944683380323987,0.08568881635989405,0.9999,0.35,0.4,0.27524166453072796
B-ReKV - Random,pair5_evolcodellama_toolace,qasper,500,0.09864178340595524,0.0673388834315865,0.13174641548149238,1.0,0.35,0.4,0.27524166453072796
B-ReKV - ReKV,pair5_evolcodellama_toolace,musique,500,-0.019363966955720024,-0.04290949779165542,0.0029089383281292193,0.0448,0.25,0.3,0.5909218059892318
B-ReKV - ValueNorm/Evict,pair5_evolcodellama_toolace,musique,500,0.1015449713724092,0.06563575331251686,0.13863603304427993,1.0,0.25,0.3,0.5909218059892318
B-ReKV - Random,pair5_evolcodellama_toolace,musique,500,0.16672681498438766,0.13190638904786342,0.20363575331251688,1.0,0.25,0.3,0.5909218059892318
B-ReKV - ReKV,pair5_evolcodellama_toolace,multifieldqa_en,150,0.0259914545583671,-0.004346151495782678,0.05932478789170043,0.9502,0.3,0.35,0.7753204540612336
B-ReKV - ValueNorm/Evict,pair5_evolcodellama_toolace,multifieldqa_en,150,0.20734187877496624,0.12734187877496622,0.288839742414558,1.0,0.3,0.35,0.7753204540612336
B-ReKV - Random,pair5_evolcodellama_toolace,multifieldqa_en,150,0.1119829091167342,0.029130935274968482,0.19431661860475066,0.9956,0.3,0.35,0.7753204540612336
B-ReKV - ReKV,pair5_evolcodellama_toolace,twowikimqa,200,-0.024055812548745323,-0.04669534392060863,-0.005472093725627336,0.0024,0.35,0.4,0.09441874512546754
B-ReKV - ValueNorm/Evict,pair5_evolcodellama_toolace,twowikimqa,200,0.05075115646935395,-0.018776749805018703,0.12169534392060864,0.9187,0.35,0.4,0.09441874512546754
B-ReKV - Random,pair5_evolcodellama_toolace,twowikimqa,200,0.09452790627437267,0.029993023431406838,0.16169534392060864,0.9976,0.35,0.4,0.09441874512546754
B-ReKV - ReKV,pair5_evolcodellama_toolace,tmath,300,0.0026884606064474944,-0.005654587612996241,0.010650938932959628,0.7563,0.25,0.3,0.14172701893064607
B-ReKV - ValueNorm/Evict,pair5_evolcodellama_toolace,tmath,300,0.017905929624939296,0.00836993608190307,0.02732107254465949,0.9999,0.25,0.3,0.14172701893064607
B-ReKV - Random,pair5_evolcodellama_toolace,tmath,300,0.02015392711086337,0.009390768022370847,0.031144970521085575,1.0,0.25,0.3,0.14172701893064607
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,countries,200,0.09566794949584705,0.053301830109612064,0.13982238772469952,1.0,0.3,0.35,0.528185392371584
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,countries,200,0.14179536519071043,0.08971814607628416,0.19443629215256833,1.0,0.3,0.35,0.528185392371584
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,countries,200,0.13207721911442627,0.08442924580447542,0.18207721911442626,1.0,0.3,0.35,0.528185392371584
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,tipsheets,500,0.028460787443973998,-0.0018101387499806195,0.058537992152483745,0.9676,0.2,0.25,0.17310039237581262
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,tipsheets,500,0.05292157488794799,0.015151258895764503,0.09138236233192198,0.9972,0.2,0.25,0.17310039237581262
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,tipsheets,500,0.054268996076241874,0.01392279529149025,0.09357659450673864,0.9956,0.2,0.25,0.17310039237581262
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,hotpotqa,500,-0.04724725604921505,-0.08126875657523375,-0.014365508942317902,0.0021,0.2,0.25,0.5053751315046751
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,hotpotqa,500,0.057483987375551195,0.018494200125410077,0.09744098632351378,0.9979,0.2,0.25,0.5053751315046751
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,hotpotqa,500,0.1478064952658317,0.10881724552884106,0.18780757029213263,1.0,0.2,0.25,0.5053751315046751
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,qasper,500,0.004176271728932685,-0.009823728271067313,0.018,0.723,0.35,0.4,0.6372880451778858
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,qasper,500,0.061430510825374963,0.029626611123373305,0.09397966300608651,0.9999,0.35,0.4,0.6372880451778858
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,qasper,500,0.046372880451778856,0.015097795936575249,0.07872542390964422,0.9983,0.35,0.4,0.6372880451778858
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,musique,500,0.026279940379198542,-0.0029667570799701724,0.05489502235780054,0.9622,0.2,0.25,0.48250372630009103
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,musique,500,0.11145490311619763,0.06869810132062637,0.15366660802796653,1.0,0.2,0.25,0.48250372630009103
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,musique,500,0.17248989566359746,0.13269810132062637,0.21255988075839707,1.0,0.2,0.25,0.48250372630009103
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,150,0.0023080467203961605,-0.027350191075291446,0.031282760107458986,0.5465,0.35,0.4,0.44873566935314135
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,150,0.11307585983881152,0.03974252650547818,0.1857256687635201,0.9987,0.35,0.4,0.44873566935314135
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,multifieldqa_en,150,0.10299157112902094,0.0347003821505829,0.17564138005372948,0.9991,0.35,0.4,0.44873566935314135
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,twowikimqa,200,-0.0027660944986921676,-0.02,0.014467811002615662,0.3499,0.35,0.4,0.5532188997384336
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,twowikimqa,200,0.07393562200523132,0.016169527506539157,0.13170171650392348,0.9936,0.35,0.4,0.5532188997384336
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,twowikimqa,200,0.06287124401046265,0.00840343300784699,0.11733905501307831,0.9892,0.35,0.4,0.5532188997384336
B-ReKV - ReKV,pair6_llama32_abliterated_deepseek3b,tmath,300,0.002853299214005364,-0.00459211412129143,0.010250345586406988,0.7776,0.2,0.25,0.46654890154314765
B-ReKV - ValueNorm/Evict,pair6_llama32_abliterated_deepseek3b,tmath,300,-0.003218019676811127,-0.011092852637403759,0.004746239658898446,0.2136,0.2,0.25,0.46654890154314765
B-ReKV - Random,pair6_llama32_abliterated_deepseek3b,tmath,300,0.002209973130629543,-0.005371421950522684,0.009775125811819677,0.7157,0.2,0.25,0.46654890154314765
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,countries,200,0.07252770923928781,0.03172595713944967,0.11672595713944967,0.9996,0.35,0.4,0.5679299160064745
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,countries,200,0.48,0.415,0.55,1.0,0.35,0.4,0.5679299160064745
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,countries,200,0.38932070083993525,0.32580175209983814,0.4514841125833972,1.0,0.35,0.4,0.5679299160064745
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,tipsheets,500,0.01089495512595554,-0.011246855454004478,0.033105044874044455,0.8179,0.35,0.4,0.5175074790074097
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,tipsheets,500,0.9140700299160296,0.8881400598320592,0.938,1.0,0.35,0.4,0.5175074790074097
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,tipsheets,500,0.8088249252099259,0.7781400598320592,0.8386148354618369,1.0,0.35,0.4,0.5175074790074097
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,hotpotqa,500,-0.03261656351772692,-0.06108966424440532,-0.004579801177520747,0.0099,0.35,0.4,0.25448321222026604
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,hotpotqa,500,0.1826592758712598,0.13669514156902193,0.22909651090017605,1.0,0.35,0.4,0.25448321222026604
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,hotpotqa,500,0.2058565372089515,0.165382539839829,0.2472758393889867,1.0,0.35,0.4,0.25448321222026604
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,qasper,500,-0.023397451984119955,-0.04738895859785313,0.0008033973545067274,0.0287,0.3,0.35,0.8995753306866591
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,qasper,500,0.10560679470901346,0.07099943779432441,0.14000021233465668,1.0,0.3,0.35,0.8995753306866591
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,qasper,500,0.0989957533068666,0.06640169867725336,0.1314022608829289,1.0,0.3,0.35,0.8995753306866591
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,musique,500,-0.018704677520014045,-0.043477442525732345,0.005772488297117439,0.0663,0.3,0.35,0.3977304171431916
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,musique,500,0.07006808748570426,0.031272059255703664,0.11006865488141844,0.9997,0.3,0.35,0.3977304171431916
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,musique,500,0.12961361749714084,0.09520453916571361,0.16440907833142723,1.0,0.3,0.35,0.3977304171431916
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,multifieldqa_en,150,-0.07592097924088079,-0.12832095084552012,-0.02353088523113137,0.0018,0.3,0.35,0.694073443066059
B-ReKV - ValueNorm/Evict,pair7_qwen25_uncensored_bespoke,multifieldqa_en,150,0.21890372894402427,0.13890372894402434,0.29945186447201216,1.0,0.3,0.35,0.694073443066059
B-ReKV - Random,pair7_qwen25_uncensored_bespoke,multifieldqa_en,150,0.15686421856446472,0.08149137485157176,0.23537284371289294,0.9999,0.3,0.35,0.694073443066059
B-ReKV - ReKV,pair7_qwen25_uncensored_bespoke,twowikimqa,200,0.006342608610696776,-0.03865739138930323,0.052884512925814975,0.6013,0.3,0.35,0.34629565557212894
